Command,Frequency
up,10
down,10
left,10
right,10
alpha,10
bravo,10
charlie,10
delta,10
echo,10
foxtrot,10
golf,10
hotel,10
india,10
juliet,10
kilo,10
lima,10
mike,10
november,10
oscar,10
papa,10
quebec,10
romeo,10
sierra,10
tango,10
uniform,10
victor,10
whisky,10
x-ray,10
yankee,10
zulu,10
one,10
two,10
three,10
four,10
five,10
six,10
colon,10
equal,10
space,10
tab,10
bang,10
late,10
rate,10
minus,20
underscore,10
plus,10
backslash,10
dot,10
zero,10
scratch,10
sky,10
enter,10
super,10
comma,10
pageup,10
pagedown,10
dash,10
dollar,10
delete,20
singlequote,10
doublequote,10
las,20
bas,20
firefox,10
max,100
terminal,10
term,30
copy,30
paste,30
mod,30
slash,10
switch,10
git,50
save,50
sidebar,50
search,50
new,50
comment,50
lift,50
drop,50
open,50
close,50
files,50
browser,50
alternate,50
layout,50
stacked,50
split,50
jump,50
window,50
buffer,100
kill,100
others,100
next,100
previous,100
project,100
find,100
top,100
bottom,100
