Command,Frequency,Group
up,5,1
down,5,1
left,5,1
right,5,1
alpha,5,1
bravo,5,1
charlie,5,1
delta,5,1
echo,5,1
foxtrot,5,1
golf,5,1
hotel,5,1
india,5,1
juliet,5,1
kilo,5,1
lima,5,1
mike,5,1
november,5,1
oscar,5,1
papa,5,1
quebec,5,1
romeo,5,1
sierra,5,1
tango,5,1
uniform,5,1
victor,5,1
whisky,5,1
x-ray,5,1
yankee,5,1
zulu,5,1
one,5,1
two,5,1
three,5,1
four,5,1
five,5,1
six,5,1
seven,5,1
eight,5,1
nine,5,1
ten,5,1
colon,1,1
single,1,1
double,1,1
equal,1,1
space,1,1
tab,1,1
bang,1,1
hash,1,1
dollar,1,1
percent,1,1
carrot,1,1
ampersand,1,1
star,1,1
late,1,1
rate,1,1
minus,1,1
underscore,1,1
plus,1,1
backslash,1,1
dot,1,1
zero,1,1
scratch,1,1
sky,1,1
enter,1,1
null,1,1
control,10,1
shift,10,1
alt,10,1
super,4,1
comma,4,1
pageup,1,1
pagedown,1,1
act,1,1
pause,1,1
mousegrid,1,1
dash,1,1
dollar,1,1
delete,1,1
singlequote,1,1
doublequote,1,1
las,1,1
bas,1,1
ace,1,1
home,1,1
end,1,1
mod,20,1
quit,5,1
