# gunzip -c exp/tri1_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Wed Dec 13 20:24:22 SAST 2017
#
At utterance begin, sil accounts for 92.9% of phone occurrences, with duration (median, mean, 95-percentile) is (20,21.9,45) frames.
At utterance begin, nonsilence accounts for 7.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.2,16) frames.
At utterance begin, s_B accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.2,15) frames.
At utterance begin, ih_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.1,9) frames.
At utterance end, sil accounts for 93.0% of phone occurrences, with duration (median, mean, 95-percentile) is (36,37.5,66) frames.
At utterance end, nonsilence accounts for 7.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.5,22) frames.
At utterance end, ah_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.7,14) frames.
At utterance end, iy_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.1,18) frames.
At utterance end, ow_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,8.6,22) frames.
At utterance end, p_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,10.3,21) frames.
At utterance end, er_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.3,14) frames.
At utterance end, ch_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (16,14.4,25) frames.
Overall, nonsilence accounts for 81.4% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.8,18) frames.
Overall, sil accounts for 18.6% of phone occurrences, with duration (median, mean, 95-percentile) is (27,29.2,60) frames.
Overall, k_I accounts for 4.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.3,11) frames.
Overall, s_B accounts for 4.4% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.0,15) frames.
Overall, r_I accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.6,9) frames.
