# gunzip -c exp/mono/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Wed Dec 13 20:12:57 SAST 2017
#
At utterance begin, sil accounts for 93.3% of phone occurrences, with duration (median, mean, 95-percentile) is (20,22.3,45) frames.
At utterance begin, nonsilence accounts for 6.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.9,15) frames.
At utterance begin, s_B accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,8.9,15) frames.
At utterance begin, ih_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.8,9) frames.
At utterance end, sil accounts for 93.1% of phone occurrences, with duration (median, mean, 95-percentile) is (37,38.6,67) frames.
At utterance end, nonsilence accounts for 6.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.5,22) frames.
At utterance end, ah_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.7,14) frames.
At utterance end, iy_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.1,18) frames.
At utterance end, ow_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,8.5,22) frames.
At utterance end, p_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,10.2,21) frames.
At utterance end, er_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.4,14) frames.
At utterance end, ch_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (16,14.3,25) frames.
Overall, nonsilence accounts for 81.4% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.7,18) frames.
Overall, sil accounts for 18.6% of phone occurrences, with duration (median, mean, 95-percentile) is (28,30.0,61) frames.
Overall, k_I accounts for 4.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.2,11) frames.
Overall, s_B accounts for 4.4% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.8,15) frames.
Overall, r_I accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.6,9) frames.
Overall, aa_I accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.4,12) frames.
Overall, l_I accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.1,9) frames.
Overall, ey_I accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (13,14.8,28) frames.
Overall, ae_I accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.2,16) frames.
Overall, s_I accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.7,11) frames.
Overall, ah_E accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.8,18) frames.
Overall, p_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.1,11) frames.
Overall, ow_E accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (12,11.8,23) frames.
Overall, t_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.2,12) frames.
Overall, eh_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.2,10) frames.
Overall, p_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.9,21) frames.
Overall, ih_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,4.8,7) frames.
Overall, t_E accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.8,20) frames.
Overall, s_E accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.5,14) frames.
