# gunzip -c exp/mono_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Sun Nov 19 12:38:59 SAST 2017
#
At utterance begin, sil accounts for 85.0% of phone occurrences, with duration (median, mean, 95-percentile) is (21,24.1,52) frames.
At utterance begin, nonsilence accounts for 15.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.1,13) frames.
At utterance begin, s_B accounts for 5.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.8,15) frames.
At utterance begin, ih_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.9,8) frames.
At utterance begin, r_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.6,11) frames.
At utterance begin, f_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.1,12) frames.
At utterance begin, d_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.0,8) frames.
At utterance begin, k_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,5.6,5) frames.
At utterance begin, p_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,5.2,7) frames.
At utterance begin, w_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,6.8,9) frames.
At utterance end, sil accounts for 90.6% of phone occurrences, with duration (median, mean, 95-percentile) is (51,47.9,69) frames.
At utterance end, nonsilence accounts for 9.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.3,19) frames.
At utterance end, ah_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (3,7.6,13) frames.
At utterance end, ow_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.7,15) frames.
At utterance end, p_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (4,6.7,12) frames.
At utterance end, n_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.1,12) frames.
At utterance end, er_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.4,15) frames.
At utterance end, iy_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,7.5,14) frames.
At utterance end, t_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,7.7,12) frames.
Overall, nonsilence accounts for 86.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,16) frames.
Overall, sil accounts for 13.2% of phone occurrences, with duration (median, mean, 95-percentile) is (34,35.2,67) frames.
Overall, k_I accounts for 4.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.2,11) frames.
Overall, s_B accounts for 3.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.9,15) frames.
Overall, r_I accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.4,9) frames.
Overall, l_I accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.7,11) frames.
Overall, eh_I accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.1,10) frames.
Overall, aa_I accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.1,12) frames.
Overall, t_E accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.9,18) frames.
Overall, s_I accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.7,11) frames.
Overall, ih_I accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,4.8,7) frames.
Overall, ae_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.7,15) frames.
Overall, ah_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.4,8) frames.
Overall, ow_E accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.3,21) frames.
Overall, t_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.1,12) frames.
Overall, ah_E accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.8,16) frames.
Overall, ey_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (14,13.3,16) frames.
Overall, n_E accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.8,17) frames.
Overall, iy_I accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.8,14) frames.
Overall, p_I accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.8,9) frames.
Overall, ay_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (12,11.6,20) frames.
Overall, er_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.7,19) frames.
Overall, n_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,5.9,9) frames.
Overall, s_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.7,23) frames.
Overall, p_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.0,19) frames.
Overall, iy_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.4,18) frames.
Overall, ow_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.0,8) frames.
