# gunzip -c exp/tri1/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/tri1/graph 
# Started at Wed Dec 13 20:22:07 SAST 2017
#
At utterance begin, sil accounts for 93.0% of phone occurrences, with duration (median, mean, 95-percentile) is (19,21.0,49) frames.
At utterance begin, nonsilence accounts for 7.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.1,13) frames.
At utterance begin, s_B accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.5,16) frames.
At utterance begin, ih_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.2,5) frames.
At utterance begin, k_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,6.3,6) frames.
At utterance begin, eh_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.0,7) frames.
At utterance end, sil accounts for 94.3% of phone occurrences, with duration (median, mean, 95-percentile) is (36,38.5,65) frames.
At utterance end, nonsilence accounts for 5.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.3,17) frames.
At utterance end, p_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (3,5.0,3) frames.
At utterance end, er_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (15,16.7,17) frames.
At utterance end, iy_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,7.7,5) frames.
At utterance end, ah_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.0,9) frames.
At utterance end, ow_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (13,16.5,13) frames.
At utterance end, s_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.5,3) frames.
At utterance end, t_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.5,3) frames.
Overall, nonsilence accounts for 80.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.7,18) frames.
Overall, sil accounts for 19.3% of phone occurrences, with duration (median, mean, 95-percentile) is (27,29.1,60) frames.
Overall, k_I accounts for 4.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.1,10) frames.
Overall, s_B accounts for 4.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.8,14) frames.
Overall, l_I accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,5.9,8) frames.
Overall, r_I accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.6,9) frames.
Overall, ey_I accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (12,14.2,26) frames.
Overall, s_I accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.6,10) frames.
Overall, ae_I accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.0,16) frames.
Overall, aa_I accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.1,11) frames.
Overall, ah_E accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.9,18) frames.
Overall, p_E accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.5,22) frames.
Overall, p_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.2,10) frames.
