# gunzip -c exp/tri1_ali/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/tri1_ali/graph 
# Started at Sun Nov 19 12:47:14 SAST 2017
#
At utterance begin, sil accounts for 86.5% of phone occurrences, with duration (median, mean, 95-percentile) is (20,23.6,48) frames.
At utterance begin, nonsilence accounts for 13.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,6.0,11) frames.
At utterance begin, ih_B accounts for 4.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,5.7,4) frames.
At utterance begin, s_B accounts for 4.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,6.0,4) frames.
At utterance begin, ah_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.0,7) frames.
At utterance begin, eh_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.0,4) frames.
At utterance begin, p_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance begin, r_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.0,11) frames.
At utterance end, sil accounts for 90.5% of phone occurrences, with duration (median, mean, 95-percentile) is (50,45.3,67) frames.
At utterance end, nonsilence accounts for 9.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.4,12) frames.
At utterance end, ch_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.0,6) frames.
At utterance end, er_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.0,12) frames.
At utterance end, k_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.0,10) frames.
At utterance end, n_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.0,14) frames.
At utterance end, ow_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance end, s_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.0,12) frames.
At utterance end, v_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.0,9) frames.
Overall, nonsilence accounts for 86.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,16) frames.
Overall, sil accounts for 14.0% of phone occurrences, with duration (median, mean, 95-percentile) is (30,33.2,66) frames.
Overall, r_I accounts for 4.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.5,9) frames.
Overall, k_I accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,5.9,9) frames.
Overall, s_B accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.7,14) frames.
Overall, t_I accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.4,10) frames.
Overall, aa_I accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.8,11) frames.
Overall, ah_E accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.3,16) frames.
Overall, ay_I accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.2,17) frames.
Overall, t_E accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (12,11.0,19) frames.
Overall, eh_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.4,10) frames.
Overall, er_E accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.5,18) frames.
Overall, ow_E accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.7,14) frames.
Overall, iy_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.6,11) frames.
Overall, l_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.8,9) frames.
Overall, s_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.7,10) frames.
Overall, n_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.0,8) frames.
Overall, p_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.7,9) frames.
Overall, ah_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.1,8) frames.
Overall, ey_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.3,15) frames.
Overall, ih_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.1,6) frames.
Overall, s_E accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.6,16) frames.
Overall, f_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.8,10) frames.
Overall, eh_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.9,13) frames.
Overall, f_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.8,17) frames.
Overall, l_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (15,16.6,22) frames.
Overall, m_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.1,12) frames.
Overall, n_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,10) frames.
Overall, ow_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.5,7) frames.
Overall, p_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.4,19) frames.
Overall, ae_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.5,14) frames.
Overall, r_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.1,12) frames.
Overall, ch_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.0,18) frames.
Overall, iy_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,11.8,19) frames.
Overall, k_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.1,10) frames.
Overall, k_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.1,18) frames.
Overall, l_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,5.7,7) frames.
Overall, v_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.2,9) frames.
Overall, b_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.8,9) frames.
Overall, m_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.6,10) frames.
Overall, n_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.0,14) frames.
Overall, ah_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.1,11) frames.
Overall, ao_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.9,15) frames.
Overall, d_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.6,10) frames.
Overall, p_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.1,8) frames.
Overall, z_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.7,12) frames.
