# gunzip -c exp/tri1_ali/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/tri1_ali/graph 
# Started at Tue Nov 14 18:43:33 SAST 2017
#
At utterance begin, sil accounts for 85.9% of phone occurrences, with duration (median, mean, 95-percentile) is (24,26.9,49) frames.
At utterance begin, nonsilence accounts for 14.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,6.2,9) frames.
At utterance begin, s_B accounts for 4.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.0,3) frames.
At utterance begin, ih_B accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,8.0,4) frames.
At utterance begin, ah_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.0,8) frames.
At utterance begin, d_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.0,4) frames.
At utterance begin, m_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.0,7) frames.
At utterance begin, w_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.0,9) frames.
At utterance end, sil accounts for 90.6% of phone occurrences, with duration (median, mean, 95-percentile) is (52,46.3,68) frames.
At utterance end, nonsilence accounts for 9.4% of phone occurrences, with duration (median, mean, 95-percentile) is (3,6.0,7) frames.
At utterance end, p_E accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance end, ah_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.0,14) frames.
At utterance end, b_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.0,6) frames.
At utterance end, er_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance end, f_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.0,7) frames.
Overall, nonsilence accounts for 86.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.3,16) frames.
Overall, sil accounts for 13.8% of phone occurrences, with duration (median, mean, 95-percentile) is (35,36.6,67) frames.
Overall, k_I accounts for 5.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,9) frames.
Overall, s_B accounts for 4.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.4,15) frames.
Overall, r_I accounts for 4.4% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.8,10) frames.
Overall, ow_E accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.2,23) frames.
Overall, ah_I accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.6,6) frames.
Overall, ih_I accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.3,5) frames.
Overall, ae_I accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.7,15) frames.
Overall, s_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.9,10) frames.
Overall, aa_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (10,8.7,11) frames.
Overall, eh_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.8,10) frames.
Overall, l_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.9,8) frames.
Overall, n_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.6,7) frames.
Overall, s_E accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.5,16) frames.
Overall, t_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,10) frames.
Overall, w_B accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.1,14) frames.
Overall, ey_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.7,16) frames.
Overall, iy_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.5,11) frames.
Overall, n_E accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.2,16) frames.
Overall, p_E accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,8.6,23) frames.
Overall, ah_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,8.3,15) frames.
Overall, er_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,9.2,16) frames.
Overall, t_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (5,8.5,16) frames.
Overall, v_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.2,9) frames.
Overall, ay_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.5,17) frames.
Overall, b_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.0,6) frames.
Overall, ch_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.4,13) frames.
Overall, iy_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.9,17) frames.
Overall, p_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,7) frames.
Overall, w_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,6.9,9) frames.
Overall, d_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.0,7) frames.
Overall, d_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.0,5) frames.
Overall, eh_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.0,10) frames.
Overall, z_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.9,12) frames.
Overall, ao_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,12.6,14) frames.
Overall, ih_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.7,9) frames.
Overall, r_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.9,12) frames.
Overall, t_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.7,12) frames.
Overall, b_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,8) frames.
Overall, k_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.0,5) frames.
Overall, k_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.7,16) frames.
Overall, l_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.8,16) frames.
Overall, m_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.8,7) frames.
Overall, m_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.8,10) frames.
Overall, n_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.0,8) frames.
Overall, ah_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.8,11) frames.
Overall, ay_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (15,20.0,27) frames.
Overall, er_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,8.6,12) frames.
Overall, f_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.4,15) frames.
Overall, f_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.0,13) frames.
